OWNER,SYNONYM_NAME,TABLE_OWNER,TABLE_NAME,DB_LINK
BATCHUSER,C1_ISS_CTR_DTL,CISADM,C1_ISS_CTR_DTL,
BATCHUSER,C1_ISS_CTR_L,CISADM,C1_ISS_CTR_L,
BATCHUSER,C1_ISS_CTR_LOG,CISADM,C1_ISS_CTR_LOG,
BATCHUSER,C1_ISS_CTR_LOG_PARM,CISADM,C1_ISS_CTR_LOG_PARM,
BATCHUSER,C1_LEAD,CISADM,C1_LEAD,
BATCHUSER,C1_LEAD_CHAR,CISADM,C1_LEAD_CHAR,
BATCHUSER,C1_LEAD_EVT,CISADM,C1_LEAD_EVT,
BATCHUSER,C1_LEAD_EVT_CHAR,CISADM,C1_LEAD_EVT_CHAR,
BATCHUSER,C1_LEAD_EVT_K,CISADM,C1_LEAD_EVT_K,
BATCHUSER,C1_LEAD_EVT_LOG,CISADM,C1_LEAD_EVT_LOG,
BATCHUSER,C1_LEAD_EVT_LOG_PARM,CISADM,C1_LEAD_EVT_LOG_PARM,
BATCHUSER,C1_LEAD_EVT_STEP,CISADM,C1_LEAD_EVT_STEP,
BATCHUSER,C1_LEAD_EVT_STEP_K,CISADM,C1_LEAD_EVT_STEP_K,
BATCHUSER,C1_LEAD_EVT_TYPE,CISADM,C1_LEAD_EVT_TYPE,
BATCHUSER,C1_LEAD_EVT_TYPE_CHAR,CISADM,C1_LEAD_EVT_TYPE_CHAR,
BATCHUSER,C1_LEAD_EVT_TYPE_L,CISADM,C1_LEAD_EVT_TYPE_L,
BATCHUSER,C1_LEAD_K,CISADM,C1_LEAD_K,
BATCHUSER,C1_LEAD_LOG,CISADM,C1_LEAD_LOG,
BATCHUSER,C1_LEAD_LOG_PARM,CISADM,C1_LEAD_LOG_PARM,
BATCHUSER,C1_LEAD_REL_OBJ,CISADM,C1_LEAD_REL_OBJ,
BATCHUSER,C1_LETY_STEP_TYPE,CISADM,C1_LETY_STEP_TYPE,
BATCHUSER,C1_LETY_STEP_TYPE_L,CISADM,C1_LETY_STEP_TYPE_L,
BATCHUSER,C1_LTR_TMPL_REC,CISADM,C1_LTR_TMPL_REC,
BATCHUSER,C1_LTR_TMPL_REC_L,CISADM,C1_LTR_TMPL_REC_L,
BATCHUSER,C1_MKT,CISADM,C1_MKT,
BATCHUSER,C1_MKTMSG_CHG,CISADM,C1_MKTMSG_CHG,
BATCHUSER,C1_MKTMSG_CHG_DTL,CISADM,C1_MKTMSG_CHG_DTL,
BATCHUSER,C1_MKTMSG_CHG_K,CISADM,C1_MKTMSG_CHG_K,
BATCHUSER,C1_MKTMSG_CHG_LOG,CISADM,C1_MKTMSG_CHG_LOG,
BATCHUSER,C1_MKTMSG_CHG_LOG_PARM,CISADM,C1_MKTMSG_CHG_LOG_PARM,
BATCHUSER,C1_MKTMSG_CHG_REL_OBJ,CISADM,C1_MKTMSG_CHG_REL_OBJ,
BATCHUSER,C1_MKTMSG_PAY,CISADM,C1_MKTMSG_PAY,
BATCHUSER,C1_MKTMSG_PAY_DTL,CISADM,C1_MKTMSG_PAY_DTL,
BATCHUSER,C1_MKTMSG_PAY_K,CISADM,C1_MKTMSG_PAY_K,
BATCHUSER,C1_MKTMSG_PAY_LOG,CISADM,C1_MKTMSG_PAY_LOG,
