table_name,column_name,data_type,index_name,column_position,index_type,index_status,index_visibility,index_partitioned,index_uniqueness,is_leading_column,is_valid_visible,is_date_like,in_domain_metadata,workstreams,prefilter_priority,design_guidance
CI_BPRT_SUBGRP,BILL_PRT_SUBGRP_CD,CHAR,XM407P0,2,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_BSEG,PREM_ID,CHAR,CM_XT048S1,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,Y,billing,MEDIUM,Good candidate for equality or IN pre-filter.
CI_BSEG,BSEG_ID,CHAR,XT048P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,Y,billing,MEDIUM,Good candidate for equality or IN pre-filter.
CI_BSEG,BILL_ID,CHAR,XT048S1,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,Y,billing,MEDIUM,Good candidate for equality or IN pre-filter.
CI_BSEG,SA_ID,CHAR,XT048S2,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,Y,billing,MEDIUM,Good candidate for equality or IN pre-filter.
CI_BSEG,QUOTE_DTL_ID,CHAR,XT048S3,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,Y,billing,MEDIUM,Good candidate for equality or IN pre-filter.
CI_BSEG,BSEG_ID,CHAR,XT048S3,2,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,Y,billing,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_BSEG_CALC,BSEG_ID,CHAR,XT072P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,Y,billing,MEDIUM,Good candidate for equality or IN pre-filter.
CI_BSEG_CALC,BILLABLE_CHG_ID,CHAR,XT072S1,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,Y,billing,MEDIUM,Good candidate for equality or IN pre-filter.
CI_BSEG_CALC,HEADER_SEQ,NUMBER,XT072P0,2,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,Y,billing,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_BSEG_CALC,BSEG_ID,CHAR,XT072S1,2,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,N,Y,N,Y,billing,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_BSEG_CALC_LN,BSEG_ID,CHAR,XT050P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,Y,billing,MEDIUM,Good candidate for equality or IN pre-filter.
CI_BSEG_CALC_LN,HEADER_SEQ,NUMBER,XT050P0,2,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,Y,billing,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_BSEG_CALC_LN,SEQNO,NUMBER,XT050P0,3,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,Y,billing,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_BSEG_CL_CHAR,BSEG_ID,CHAR,XT056P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
