OWNER,TABLE_NAME,INDEX_NAME,UNIQUENESS,INDEX_TYPE,STATUS,VISIBILITY,TABLESPACE_NAME,PARTITIONED,LAST_ANALYZED
CISADM,D1_AGG_GROUP_L,D1C459P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:26:42
CISADM,D1_AGG_GROUP_LOG,D1C461P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:26:20
CISADM,D1_AGG_GROUP_LOG_PARM,D1C462P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:26:05
CISADM,D1_AGG_GROUP_RUN,D1T501P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:11:08
CISADM,D1_AGG_GROUP_RUN_MC_SET,D1T502P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:15:23
CISADM,D1_AGG_MSRMT,D1T447P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:13:13
CISADM,D1_ATTR_GRP,D1C596P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:25:58
CISADM,D1_ATTR_GRP_CHAR,D1C598P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:26:34
CISADM,D1_ATTR_GRP_L,D1C597P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:25:50
CISADM,D1_ATTR_VAL,D1T599P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:11:16
CISADM,D1_ATTR_VAL_K,D1T600P0,UNIQUE,IOT - TOP,VALID,VISIBLE,CISTS_01,NO,2026-01-07 21:31:58
CISADM,D1_ATTR_VAL_LOG,D1T601P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:11:33
CISADM,D1_ATTR_VAL_LOG_PARM,D1T602P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:10:43
CISADM,D1_BILL_CYC,D1T449P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-02-13 02:15:39
CISADM,D1_BILL_CYC_CHAR,D1T451P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:26:06
CISADM,D1_BILL_CYC_CHAR,D1T451S1,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:26:06
CISADM,D1_BILL_CYC_L,D1T450P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-02-13 02:15:39
CISADM,D1_BILL_CYC_SCH,D1T452P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-02-13 02:15:46
CISADM,D1_COMMAND_SET,D1T454P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:26:04
CISADM,D1_COMMAND_SET_BUS_OBJ,D1T457P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:26:18
CISADM,D1_COMMAND_SET_CHAR,D1T456P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:26:05
CISADM,D1_COMMAND_SET_CHAR,D1T456S1,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:26:05
CISADM,D1_COMMAND_SET_L,D1T455P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:25:54
CISADM,D1_COMM_IN,D1T386P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:05:54
CISADM,D1_COMM_IN_CHAR,D1T387P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:17:50
CISADM,D1_COMM_IN_CHAR,D1T387S0,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:17:50
CISADM,D1_COMM_IN_IDENTIFIER,D1T391P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:19:17
CISADM,D1_COMM_IN_IDENTIFIER,D1T391S0,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:19:17
CISADM,D1_COMM_IN_IDENTIFIER,D1T391S1,NONUNIQUE,FUNCTION-BASED NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:19:17
CISADM,D1_COMM_IN_K,D1T410P0,UNIQUE,IOT - TOP,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:18:57
CISADM,D1_COMM_IN_LOG,D1T388P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:21:29
CISADM,D1_COMM_IN_LOG,D1T388S1,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:21:30
CISADM,D1_COMM_IN_LOG,D1T388S2,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:21:31
CISADM,D1_COMM_IN_LOG_PARM,D1T389P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:19:58
CISADM,D1_COMM_IN_REL_OBJ,D1T390P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:06:01
CISADM,D1_COMM_IN_REL_OBJ,D1T390S0,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:06:01
CISADM,D1_COMM_OUT,D1T380P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-02-27 02:13:29
CISADM,D1_COMM_OUT_CHAR,D1T381P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:09:32
CISADM,D1_COMM_OUT_CHAR,D1T381S0,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:09:31
CISADM,D1_COMM_OUT_IDENTIFIER,D1T385P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:05:44
CISADM,D1_COMM_OUT_IDENTIFIER,D1T385S0,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:05:44
CISADM,D1_COMM_OUT_IDENTIFIER,D1T385S1,NONUNIQUE,FUNCTION-BASED NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:05:45
CISADM,D1_COMM_OUT_K,D1T411P0,UNIQUE,IOT - TOP,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:19:07
CISADM,D1_COMM_OUT_LOG,D1T382P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:07:01
CISADM,D1_COMM_OUT_LOG,D1T382S1,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:07:00
CISADM,D1_COMM_OUT_LOG,D1T382S2,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:07:01
CISADM,D1_COMM_OUT_LOG_PARM,D1T383P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:06:15
CISADM,D1_COMM_OUT_REL_OBJ,D1T384P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:06:20
CISADM,D1_COMM_OUT_REL_OBJ,D1T384S0,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:06:19
CISADM,D1_COMM_TYPE,D1C359P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:05:26
CISADM,D1_COMM_TYPE_CHAR,D1C361P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:25:57
CISADM,D1_COMM_TYPE_CHAR,D1C361S1,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:25:57
