DEVICE_CONFIG_EFFECT_DTTM,ASSET_CREATION_DT,SERIAL_NUMBER,BILL_CYCLE,CURRENT_DISPOSITION,CURRENT_DISP_DT,MTR_SPEC,SPID,SP_TYPE,MTR_SITE_ID,PREM_ID,PREM_ADDR,PIN,CURRENT_LOC_ORG_ID
2005-07-05-12.07.00,7/4/05,29472830,02,NI-INSTORE,7/15/25,SM-DISC-B58,901046628100,WT-RES,10784-WT-000,7066405048,30 N ROYAL AVE,FDL-15-17-11-44-793-00,
2005-07-08-12.07.00,7/7/05,29456335,01,NI-INSTORE,9/10/25,SM-DISC-B100,793951370500,WT-RES,25476-WT-000,9780934430,31 CUMBERLYNN CIR,FDL-15-17-23-14-800-00,
2005-07-11-12.07.00,7/10/05,29472944,02,NI-INSTORE,7/9/25,SM-DISC-B58,581428911600,WT-RES,13352-WT-000,2408533659,74 S SALLIE AVE,FDL-15-17-14-11-034-00,
2005-07-18-12.07.00,7/17/05,29468884,01,NI-INSTORE,6/17/25,SM-DISC-B75,212066835000,WT-RES,12206-WT-000,6063018140,27 EASTBROOK LN,FDL-15-17-13-32-259-00,
2005-07-19-12.07.00,7/18/05,29472948,02,NI-INSTORE,7/3/25,SM-DISC-B58,268470849500,WT-RES,14724-WT-000,5325369145,249 E 2ND ST,FDL-15-17-14-22-340-00,
2005-07-20-12.07.00,7/19/05,29472692,01,NI-INSTORE,10/3/25,SM-DISC-B58,463369904600,WT-RES,16582-WT-000,7119211015,518 S PARK AVE,FDL-15-17-14-33-568-00,
2005-07-25-12.07.00,7/24/05,29472804,02,NI-INSTORE,7/22/25,SM-DISC-B58,980024350800,WT-RES,10278-WT-000,4935075028,15 CHAMPION AVE,FDL-15-17-11-34-798-00,
2005-07-27-12.07.00,7/26/05,29472873,01,NI-INSTORE,8/4/25,SM-DISC-B58,744527364400,WT-RES,18574-WT-000,4142059589,126 5TH ST,FDL-15-17-15-14-798-00,
2005-07-27-12.07.00,7/26/05,29472880,02,NI-INSTORE,7/3/25,SM-DISC-B58,595036056200,WT-RES,14710-WT-000,5953264435,203 E 2ND ST,FDL-15-17-14-22-333-00,
2005-07-28-12.07.00,7/27/05,29472886,01,NI-INSTORE,8/8/25,SM-DISC-B58,090361149600,WT-RES,18592-WT-000,5371818695,111 6TH ST,FDL-15-17-15-14-807-00,
2005-08-15-12.08.00,8/14/05,29472922,01,NI-INSTORE,8/5/25,SM-DISC-B58,611715075900,WT-RES,20548-WT-000,8332127211,105 E 9TH ST,FDL-15-17-15-41-008-00,
2005-08-29-12.08.00,8/28/05,29472892,01,NI-INSTORE,8/5/25,SM-DISC-B58,292559320200,WT-RES,16154-WT-000,1710647327,190 E 9TH ST,FDL-15-17-14-32-312-00,
2005-08-29-12.08.00,8/28/05,29473015,01,NI-INSTORE,6/2/25,SM-DISC-B58,579651685100,WT-RES,17518-WT-000,1264502487,475 E 9TH ST,FDL-15-17-14-42-272-00,
2005-09-01-12.09.00,8/31/05,29473022,01,NI-INSTORE,8/11/25,SM-DISC-B58,944280329200,WT-RES,15480-WT-000,6431428552,342 5TH ST,FDL-15-17-14-24-827-00,
2005-09-08-12.09.00,9/7/05,29473030,01,NI-INSTORE,8/26/25,SM-DISC-B58,792476946900,WT-RES,15748-WT-000,0466032743,384 E 9TH ST,FDL-15-17-14-31-046-00,
2005-09-16-12.09.00,9/15/05,29473089,01,NI-INSTORE,7/31/25,SM-DISC-B58,204335205500,WT-RES,16176-WT-000,6204850867,165 E 10TH ST,FDL-15-17-14-32-323-00,
2005-09-26-12.09.00,9/25/05,29473143,02,NI-INSTORE,6/25/25,SM-DISC-B58,808058173100,WT-RES,13722-WT-000,6896237049,177 WELSH ST,FDL-15-17-14-12-361-00,
2005-09-26-12.09.00,9/25/05,29473148,01,NI-INSTORE,8/26/25,SM-DISC-B58,134059053800,WT-RES,21666-WT-000,4914040300,119 14TH ST,FDL-15-17-15-44-862-00,
2005-09-29-12.09.00,9/28/05,29473136,01,NI-INSTORE,9/10/25,SM-DISC-B58,060087437900,WT-RES,21716-WT-000,8800839202,50 14TH ST,FDL-15-17-15-44-887-00,
2005-10-07-12.10.00,10/6/05,29473099,01,NI-INSTORE,9/15/25,SM-DISC-B58,488624843200,WT-RES,16652-WT-000,1412527130,152 14TH ST,FDL-15-17-14-33-602-00,
2005-10-11-12.10.00,10/10/05,29473189,01,NI-INSTORE,8/11/25,SM-DISC-B58,086690263200,WT-RES,16840-WT-000,3975914515,270 E 11TH ST,FDL-15-17-14-34-772-00,
2005-10-12-12.10.00,10/11/05,29473199,01,NI-INSTORE,8/25/25,SM-DISC-B58,255940529100,WT-RES,15934-WT-000,6965729726,415 VINE ST,FDL-15-17-14-31-140-00,
2005-11-04-12.11.00,11/3/05,29473249,02,NI-INSTORE,6/26/25,SM-DISC-B58,300217850300,WT-RES,21880-WT-000,7807899912,422 FOREST AVE,FDL-15-17-16-11-003-00,
2005-11-07-12.11.00,11/6/05,29473252,01,NI-INSTORE,11/4/25,SM-DISC-B58,041427029700,WT-RES,16794-WT-000,5648595082,574 VINE ST,FDL-15-17-14-33-674-00,
2005-11-07-12.11.00,11/6/05,29473262,01,NI-INSTORE,8/27/25,SM-DISC-B58,775985365500,WT-RES,17136-WT-000,8849456276,342 15TH ST,FDL-15-17-14-34-920-00,
2005-11-08-12.11.00,11/7/05,29473288,02,NI-INSTORE,6/30/25,SM-DISC-B58,660398561200,WT-RES,21884-WT-000,9395423282,436 FOREST AVE,FDL-15-17-16-11-005-00,
2005-11-09-12.11.00,11/8/05,30050868,02,NI-INSTORE,9/25/25,SM-DISC-B75,488435074600,WT-RES,37656-WT-000,1931642721,21 KINGS CREST LN,FDL-15-17-26-22-289-00,
2005-11-10-12.11.00,11/9/05,29473251,01,NI-INSTORE,9/16/25,SM-DISC-B58,161557520100,WT-RES,21770-WT-000,3090658280,133 15TH ST,FDL-15-17-15-44-914-00,
2005-11-14-12.11.00,11/13/05,29473298,01,NI-INSTORE,8/28/25,SM-DISC-B58,971759419900,WT-RES,21802-WT-000,4326396758,57 15TH ST,FDL-15-17-15-44-930-00,
2005-11-28-12.11.00,11/27/05,29473221,03,NI-INSTORE,7/15/25,SM-DISC-B58,001367668100,WT-RES,7688-WT-000,9608742101,327 GERTRUDE AVE,FDL-15-17-11-14-775-00,
2005-11-28-12.11.00,11/27/05,29473300,03,NI-INSTORE,6/30/25,SM-DISC-B58,781992162600,WT-RES,7670-WT-000,8426398332,271 GERTRUDE AVE,FDL-15-17-11-14-766-00,
2005-12-05-12.12.00,12/4/05,29473283,03,NI-INSTORE,7/7/25,SM-DISC-B58,241867534900,WT-RES,7774-WT-000,5293343461,271 LAWRENCE AVE,FDL-15-17-11-14-818-00,
2005-12-06-12.12.00,12/5/05,29473277,03,NI-INSTORE,7/2/25,SM-DISC-B58,345221634100,WT-RES,7712-WT-000,2797512157,260 GERTRUDE AVE,FDL-15-17-11-14-787-00,
2005-12-08-12.12.00,12/7/05,29473278,02,NI-INSTORE,6/26/25,SM-DISC-B58,224393518500,WT-RES,22486-WT-000,5533544619,84 S SEYMOUR ST,FDL-15-17-16-12-379-00,
2005-12-22-12.12.00,12/21/05,32636773,03,NI-INSTORE,7/15/25,SM-DISC-B58,067596196000,WT-RES,7316-WT-000,1709210482,440 BISCHOFF ST,FDL-15-17-11-12-319-00,
2005-12-22-12.12.00,12/21/05,32638482,01,NI-INSTORE,5/29/25,SM-DISC-B75,797181111000,WT-RES,37752-WT-000,7091812183,1296 MARTIN AVE,FDL-15-17-26-24-766-00,
2005-12-28-12.12.00,12/27/05,32636811,03,NI-INSTORE,7/7/25,SM-DISC-B58,623446970200,WT-RES,7280-WT-000,1333117569,437 WETTSTEIN AVE,FDL-15-17-11-12-301-00,
2006-04-05-12.04.00,4/4/06,30119908,03,NI-INSTORE,11/1/24,SM-DISC-B58,535460941600,WT-RES,8304-WT-000,7249959613,434 N PARK AVE,FDL-15-17-11-22-283-00,
