domain_name,workstream,join_tree_id,join_sequence,join_type,left_table,right_table,join_expression
Payment_Tender___Domain,Cashiering,JoinTree_1,4,inner,CI_PAY_TNDR,CI_LOOKUP_VAL_L,CI_PAY_TNDR.TNDR_STATUS_FLG == CI_LOOKUP_VAL_L.FIELD_VALUE and CI_LOOKUP_VAL_L.FIELD_NAME == 'TNDR_STATUS_FLG' and CI_LOOKUP_VAL_L.LANGUAGE_CD == 'ENG'
Payment_Tender___Domain,Cashiering,JoinTree_1,5,leftOuter,CI_PAY_TNDR,CI_PAY_CAN_RSN_L,CI_PAY_TNDR.CAN_RSN_CD == CI_PAY_CAN_RSN_L.CAN_RSN_CD and CI_PAY_CAN_RSN_L.LANGUAGE_CD == 'ENG'
Payment_Tender___Domain,Cashiering,JoinTree_1,6,inner,CI_PAY_TNDR,CI_TNDR_CTL,CI_PAY_TNDR.TNDR_CTL_ID == CI_TNDR_CTL.TNDR_CTL_ID
Payment_Tender___Domain,Cashiering,JoinTree_1,7,inner,CI_TNDR_CTL,CI_TNDR_SRCE_L,CI_TNDR_CTL.TNDR_SOURCE_CD == CI_TNDR_SRCE_L.TNDR_SOURCE_CD and CI_TNDR_SRCE_L.LANGUAGE_CD == 'ENG'
Payment_Tender___Domain,Cashiering,JoinTree_1,8,inner,CI_TNDR_CTL,CI_LOOKUP_VAL_L_1,CI_TNDR_CTL.TNDR_CTL_ST_FLG == CI_LOOKUP_VAL_L_1.FIELD_VALUE and CI_LOOKUP_VAL_L_1.FIELD_NAME == 'TNDR_CTL_ST_FLG' and CI_LOOKUP_VAL_L_1.LANGUAGE_CD == 'ENG'
Payment_Tender___Domain,Cashiering,JoinTree_1,9,leftOuter,CI_TNDR_CTL,SC_USER_1,CI_TNDR_CTL.USER_ID == SC_USER_1.USER_ID
Payment_Tender___Domain,Cashiering,JoinTree_1,10,leftOuter,CI_TNDR_CTL,SC_USER,CI_TNDR_CTL.BALANCED_USER_ID == SC_USER.USER_ID
Payment_Tender___Domain,Cashiering,JoinTree_1,11,inner,CI_ACCT_PER,CI_PER_NAME,CI_ACCT_PER.PER_ID == CI_PER_NAME.PER_ID and CI_PER_NAME.NAME_TYPE_FLG == 'PRIM' and CI_ACCT_PER.MAIN_CUST_SW == 'Y'
Batch_Process___Domain,Common,JoinTree_1,1,inner,CI_BATCH_INST,CI_BATCH_RUN,CI_BATCH_INST.BATCH_CD == CI_BATCH_RUN.BATCH_CD and CI_BATCH_INST.BATCH_NBR == CI_BATCH_RUN.BATCH_NBR and CI_BATCH_INST.BATCH_RERUN_NBR == CI_BATCH_RUN.BATCH_RERUN_NBR
Batch_Process___Domain,Common,JoinTree_1,2,inner,CI_BATCH_INST,CI_BATCH_CTRL,CI_BATCH_INST.BATCH_CD == CI_BATCH_CTRL.BATCH_CD
Batch_Process___Domain,Common,JoinTree_1,3,inner,CI_BATCH_INST,CI_BATCH_CTRL_L,CI_BATCH_INST.BATCH_CD == CI_BATCH_CTRL_L.BATCH_CD and CI_BATCH_CTRL_L.LANGUAGE_CD == 'ENG'
Batch_Process___Domain,Common,JoinTree_1,4,inner,CI_BATCH_INST,CI_BATCH_THD,CI_BATCH_INST.BATCH_CD == CI_BATCH_THD.BATCH_CD and CI_BATCH_INST.BATCH_NBR == CI_BATCH_THD.BATCH_NBR and CI_BATCH_INST.BATCH_RERUN_NBR == CI_BATCH_THD.BATCH_RERUN_NBR
Batch_Process___Domain,Common,JoinTree_1,5,inner,CI_BATCH_RUN,CI_LOOKUP_VAL_L,CI_BATCH_RUN.RUN_STATUS == CI_LOOKUP_VAL_L.FIELD_VALUE and CI_LOOKUP_VAL_L.FIELD_NAME == 'RUN_STATUS' and CI_LOOKUP_VAL_L.LANGUAGE_CD == 'ENG'
Batch_Process___Domain,Common,JoinTree_1,6,inner,CI_BATCH_THD,CI_LOOKUP_VAL_L_1,CI_BATCH_THD.THREAD_STATUS == CI_LOOKUP_VAL_L_1.FIELD_VALUE and CI_LOOKUP_VAL_L_1.FIELD_NAME == 'THREAD_STATUS' and CI_LOOKUP_VAL_L_1.LANGUAGE_CD == 'ENG'
Bill_Segment_Exception___Domain,Common,JoinTree_1,1,inner,CI_BSEG_EXCP,CI_TD_DRLKEY,CI_BSEG_EXCP.BSEG_ID == CI_TD_DRLKEY.KEY_VALUE
Bill_Segment_Exception___Domain,Common,JoinTree_1,2,inner,CI_TD_DRLKEY,CI_TD_DRLKEY_TY,CI_TD_DRLKEY.SEQ_NUM == CI_TD_DRLKEY_TY.SEQ_NUM
Bill_Segment_Exception___Domain,Common,JoinTree_1,3,inner,CI_TD_DRLKEY_TY,CI_TD_ENTRY,CI_TD_DRLKEY_TY.TD_TYPE_CD == CI_TD_ENTRY.TD_TYPE_CD and CI_TD_DRLKEY_TY.TBL_NAME == 'CI_BSEG' and CI_TD_DRLKEY_TY.FLD_NAME == 'BSEG_ID'
Bill_Segment_Exception___Domain,Common,JoinTree_1,4,inner,CI_TD_DRLKEY,CI_TD_ENTRY,CI_TD_DRLKEY.TD_ENTRY_ID == CI_TD_ENTRY.TD_ENTRY_ID
Bill_Segment_Exception___Domain,Common,JoinTree_1,5,inner,CI_BSEG_EXCP,CI_BSEG,CI_BSEG_EXCP.BSEG_ID == CI_BSEG.BSEG_ID
Bill_Segment_Exception___Domain,Common,JoinTree_1,6,inner,CI_BSEG,CI_SA,CI_BSEG.SA_ID == CI_SA.SA_ID
Bill_Segment_Exception___Domain,Common,JoinTree_1,7,inner,CI_SA,CI_ACCT_PER,CI_SA.ACCT_ID == CI_ACCT_PER.ACCT_ID and CI_ACCT_PER.MAIN_CUST_SW == 'Y'
Bill_Segment_Exception___Domain,Common,JoinTree_1,8,inner,CI_ACCT_PER,CI_PER_NAME,CI_ACCT_PER.PER_ID == CI_PER_NAME.PER_ID and CI_PER_NAME.NAME_TYPE_FLG == 'PRIM'
Bill_Segment_Exception___Domain,Common,JoinTree_1,9,inner,CI_BSEG_EXCP,CI_LOOKUP_VAL_L,CI_BSEG_EXCP.BSEG_EXCP_FLG == CI_LOOKUP_VAL_L.FIELD_VALUE and CI_LOOKUP_VAL_L.FIELD_NAME == 'BSEG_EXCP_FLG' and CI_LOOKUP_VAL_L.LANGUAGE_CD == 'ENG'
Bill_Segment_Exception___Domain,Common,JoinTree_1,10,inner,CI_BSEG_EXCP,SC_USER,CI_BSEG_EXCP.USER_ID == SC_USER.USER_ID
Bill_Segment_Exception___Domain,Common,JoinTree_1,11,leftOuter,CI_BSEG_EXCP,SC_USER_1,CI_BSEG_EXCP.REVIEW_USER_ID == SC_USER_1.USER_ID
Bill_Segment_Exception___Domain,Common,JoinTree_1,12,leftOuter,CI_TD_ENTRY,SC_USER_2,CI_TD_ENTRY.ASSIGNED_USER_ID == SC_USER_2.USER_ID
Bill_Segment_Exception___Domain,Common,JoinTree_1,13,inner,CI_TD_ENTRY,CI_TD_TYPE_L,CI_TD_ENTRY.TD_TYPE_CD == CI_TD_TYPE_L.TD_TYPE_CD and CI_TD_TYPE_L.LANGUAGE_CD == 'ENG'
Bill_Segment_Exception___Domain,Common,JoinTree_1,14,inner,CI_TD_ENTRY,CI_ROLE_L,CI_TD_ENTRY.ROLE_ID == CI_ROLE_L.ROLE_ID
Bill_Segment_Exception___Domain,Common,JoinTree_1,15,inner,CI_TD_ENTRY,CI_LOOKUP_VAL_L_1,CI_TD_ENTRY.ENTRY_STATUS_FLG == CI_LOOKUP_VAL_L_1.FIELD_VALUE and CI_LOOKUP_VAL_L_1.FIELD_NAME == 'ENTRY_STATUS_FLG' and CI_LOOKUP_VAL_L_1.LANGUAGE_CD == 'ENG'
Bill_Segment_Exception___Domain,Common,JoinTree_1,16,leftOuter,CI_TD_ENTRY,SC_USER_3,CI_TD_ENTRY.COMPLETE_USER_ID == SC_USER_3.USER_ID
Bill_Segment_Exception___Domain,Common,JoinTree_1,17,inner,CI_TD_ENTRY,CI_LOOKUP_VAL_L_2,CI_TD_ENTRY.TD_PRIORITY_FLG == CI_LOOKUP_VAL_L_2.FIELD_VALUE and CI_LOOKUP_VAL_L_2.FIELD_NAME == 'TD_PRIORITY_FLG' and CI_LOOKUP_VAL_L_2.LANGUAGE_CD == 'ENG'
Bill_Segment_Exception___Domain,Common,JoinTree_1,18,leftOuter,CI_TD_ENTRY,SC_USER_4,CI_TD_ENTRY.ASSIGNED_TO == SC_USER_4.USER_ID
Bill_Segment_Exception___Domain,Common,JoinTree_1,19,inner,CI_SA,CI_ACCT,CI_SA.ACCT_ID == CI_ACCT.ACCT_ID
